Fuori,Id,Nome,Squadra,R,RM,Qt.I,Qt.A,Qt.I M,Qt.A M,FVM,FVM M,Trasferimento
0,6054,Moro N.,BOL,C,M;C,4,4,4,4,14,17,
0,6895,Dominguez B.,SAS,C,W;A,3,4,2,3,12,12,Bologna -> Sassuolo (Prestito con Diritto Riscatto)
0,7268,Rodriguez Ju.,CAG,D,DS;DC,3,4,4,5,14,17,
1,4461,Zappa,CAG,D,B;DD;E,4,4,4,4,7,9,Cagliari -> Verona (Prestito con obbligo condizionato)
0,1871,Deiola,CAG,C,M;C,3,4,3,4,8,8,
1,6424,Prati,CAG,C,M;C,4,4,4,4,7,7,Cagliari -> Racing Santander (Prestito con obbligo condizionato)
0,6243,Borrelli,CAG,A,PC,4,4,3,4,9,7,
0,7374,Mendy P.,CAG,A,PC,4,4,3,3,14,11,
0,7014,Smolcic I.,COM,D,DD;E,4,4,4,4,10,10,
1,313,Morata,COM,A,PC,4,4,3,3,7,7,Como -> Leganes (Prestito con Diritto Riscatto)
0,5603,Pongracic,FIO,D,DC,4,4,4,4,8,8,
0,6206,Fabbian,PAR,C,C;T,4,4,4,4,8,8,Fiorentina -> Parma (Prestito con Diritto Riscatto)
0,7467,Calvani,FRO,D,DC,4,4,4,4,12,12,
0,7473,Cichella,FRO,C,M;C,4,4,4,4,12,15,
0,7474,Koutsoupias,FRO,C,C,4,4,4,4,11,11,
0,6506,Fini,FRO,C,W,3,4,2,3,13,13,
0,6204,Kvernadze,FRO,A,W;A,4,4,5,5,17,20,
0,7537,Mitaj,GEN,D,DS;E,4,4,4,4,10,10,Al-Ittihad -> Genoa (Prestito con Diritto Riscatto)
0,4970,Messias,GEN,C,W;T,3,4,3,4,8,8,
0,7453,Havel,GEN,A,PC,4,4,3,3,9,7,TSV Hartberg -> Genoa (Definitivo)
0,5301,Luis Henrique,INT,C,E;W,4,4,5,5,12,14,
0,5831,Gatti,JUV,D,DC,4,4,4,4,10,10,
0,4911,Douglas Luiz,JUV,C,C,4,4,4,4,15,15,Aston Villa -> Juventus (Fine Prestito)
0,333,Cataldi,LAZ,C,M;C,4,4,5,5,12,15,
0,7322,Ngom,LEC,C,M;C,4,4,5,5,13,16,
0,5739,De Winter,MIL,D,DD;DC,3,4,4,5,12,14,
0,5273,Estupinan,MIL,D,DS;E,3,4,3,4,13,13,
0,5453,Ricci S.,COM,C,M;C,4,4,4,4,10,12,Milan -> Como (Prestito con Diritto Riscatto)
0,4199,Loftus-Cheek,MIL,C,C;T,4,4,4,4,18,18,
0,2115,Delli Carri,MON,D,DC,4,4,4,4,11,11,
0,6659,Lucchesi,MON,D,DC,4,4,4,4,11,11,
0,5838,Birindelli,MON,D,DD;DS;E,4,4,5,5,12,14,
0,6252,Folorunsho,MON,C,C;T,4,4,4,4,17,17,Napoli -> Monza (Prestito con Diritto Riscatto)
0,7162,Giovane,NAP,A,A,4,4,4,4,10,10,
0,7120,Lang,NAP,A,A,3,4,3,4,12,12,Galatasaray -> Napoli (Fine Prestito)
0,6215,Lucca,NAP,A,PC,3,4,3,4,10,9,Nottingham -> Napoli (Fine Prestito)
0,7235,Troilo,PAR,D,DC,3,4,3,4,14,14,
0,5307,Valenti,PAR,D,DC,4,4,4,4,10,10,
0,6207,Almqvist,PAR,C,W;A,4,4,3,4,11,11,
0,7536,Diallo O.,PAR,C,W;A,3,4,2,3,12,10,Borussia Dortmund -> Parma (Definitivo)
0,6631,Ghilardi,ROM,D,DC,4,4,4,4,10,10,
0,6271,El Aynaoui,ROM,C,M;C,4,4,5,5,18,20,
0,4374,Walukiewicz,SAS,D,DD;DC,4,4,4,4,10,12,
0,5851,Doig,SAS,D,DS;E,4,4,4,4,10,10,
0,7526,Comert,TOR,D,DC,4,4,4,4,12,12,Valencia -> Torino (Definitivo)
0,7535,Fitz-Jim,TOR,C,M;C,4,4,5,5,18,23,
0,6005,Ilkhan,TOR,C,M;C,4,4,5,5,10,12,
0,7349,Kulenovic,TOR,A,PC,4,4,3,3,9,7,
0,4263,Kabasele,UDI,D,DC,4,4,4,4,12,12,
0,5820,Bertola,UDI,D,DD;DS;DC,4,4,6,6,10,13,
0,5527,Zanoli,UDI,D,DD;E,4,4,4,4,10,10,
